unq:name@Category.category_id,unq:name,ui_order,avg_price,fdev_id
'Chemicals','Explosives',1,294,128049204
'Chemicals','Hydrogen Fuel',2,122,128049202
'Chemicals','Hydrogen Peroxide',3,917,128673850
'Chemicals','Liquid oxygen',4,252,128673851
'Chemicals','Mineral Oil',5,228,128049203
'Chemicals','Nerve Agents',6,13484,128672304
'Chemicals','Pesticides',7,248,128049205
'Chemicals','Surface Stabilisers',8,498,128672305
'Chemicals','Synthetic Reagents',9,6669,128672303
'Chemicals','Water',10,155,128049166
'Consumer Items','Clothing',1,324,128049241
'Consumer Items','Consumer Technology',2,6700,128049240
'Consumer Items','Domestic Appliances',3,530,128049238
'Consumer Items','Evacuation Shelter',4,346,128672314
'Consumer Items','Survival Equipment',5,501,128682048
'Consumer Items','Trinkets of Hidden Fortune',6,964,128671444
'Foods','Algae',1,172,128049177
'Foods','Animal Meat',2,1336,128049182
'Foods','Coffee',3,1327,128049189
'Foods','Fish',4,437,128049183
'Foods','Food Cartridges',5,154,128049184
'Foods','Fruit and Vegetables',6,348,128049178
'Foods','Grain',7,244,128049180
'Foods','Synthetic Meat',8,285,128049185
'Foods','Tea',9,1515,128049188
'Industrial Materials','Ceramic Composites',1,227,128672302
'Industrial Materials','CMM Composite',2,5976,128673856
'Industrial Materials','Insulating Membrane',3,10861,128673855
'Industrial Materials','Meta-Alloys',4,88152,128672701
'Industrial Materials','Micro-weave Cooling Hoses',5,1658,128673857
'Industrial Materials','Neofabric Insulation',6,5939,128673858
'Industrial Materials','Polymers',7,181,128049197
'Industrial Materials','Semiconductors',8,936,128049199
'Industrial Materials','Superconductors',9,6662,128049200
'Legal Drugs','Beer',1,215,128049214
'Legal Drugs','Bootleg Liquor',2,852,128672306
'Legal Drugs','Liquor',3,632,128049216
'Legal Drugs','Narcotics',4,10016,128049212
'Legal Drugs','Tobacco',5,5056,128049213
'Legal Drugs','Wine',6,286,128049215
'Machinery','Articulation Motors',1,7552,128673859
'Machinery','Atmospheric Processors',2,403,128064028
'Machinery','Building Fabricators',3,1022,128672309
'Machinery','Crop Harvesters',4,2152,128049222
'Machinery','Emergency Power Cells',5,2221,128673861
'Machinery','Energy Grid Assembly',6,2518,128673863
'Machinery','Exhaust Manifold',7,1860,128673866
'Machinery','Geological Equipment',8,1700,128672307
'Machinery','Heatsink Interlink',9,1940,128673868
'Machinery','HN Shock Mount',10,1745,128673860
'Machinery','Ion Distributor',11,2242,128673874
'Machinery','Magnetic Emitter Coil',12,1174,128673869
'Machinery','Marine Equipment',13,4147,128049223
'Machinery','Microbial Furnaces',14,242,128049220
'Machinery','Mineral Extractors',15,595,128049221
'Machinery','Modular Terminals',16,2282,128673870
'Machinery','Power Converter',17,1254,128673862
'Machinery','Power Generators',18,536,128049217
'Machinery','Power Transfer Bus',19,2065,128673864
'Machinery','Radiation Baffle',20,1648,128673865
'Machinery','Reinforced Mounting Plate',21,2299,128673867
'Machinery','Skimmer Components',22,906,128672313
'Machinery','Thermal Cooling Units',23,281,128672308
'Machinery','Water Purifiers',24,310,128049218
'Medicines','Advanced Medicines',1,1233,128682046
'Medicines','Agri-Medicines',2,1034,128049208
'Medicines','Basic Medicines',3,323,128049210
'Medicines','Combat Stabilisers',4,3482,128049670
