!name@System.system_id,name@Station.station_id,name@Category.category_id,unq:name,cost,max_allocation,illegal,suppressed
'16 LYRAE','Budrys Ring','Legal Drugs','Lyrae Weed',148,10,'N','N'
'17 LYRAE','Langford Enterprise','Consumer Items','Ultra-Compact Processor Prototypes',19350,1,'N','N'
'36 OPHIUCHI','Katzenstein Dock','Consumer Items','Ophiuch Exino Artefacts',4356,11,'N','N'
'38 VIRGINIS','Bamford Ring','Foods','Baked Greebles',45,17,'N','N'
'39 TAURI','Porta','Consumer Items','Tauri Chimes',924,17,'N','N'
'47 CETI','Glushko Station','Foods','Aepyornis Egg',2654,7,'N','N'
'47 CETI','Kaufmanis Hub','Foods','Ceti Rabbits',1675,12,'N','N'
'9 AURIGAE','Hunt Enterprise','Legal Drugs','Saxon Wine',1378,13,'N','N'
'AEGAEON','Schweickart Station','Legal Drugs','Chateau De Aegaeon',1267,14,'N','N'
'AERIAL','Andrade Legacy','Foods','Eden Apples of Aerial',615,15,'N','N'
'AGANIPPE','Julian Market','Medicines','Aganippe Rush',8966,4,'Y','Y'
'ALACARAKMO','Weyl Gateway','Consumer Items','Alacarakmo Skin Art',1421,14,'N','N'
'ALPHA CENTAURI','Hutton Orbital','Consumer Items','The Hutton Mug',125,30,'N','N'
'ALPHA CENTAURI','Hutton Orbital','Legal Drugs','Centauri Mega Gin',3319,7,'Y','N'
'ALTAIR','Solo Orbiter','Consumer Items','Altairian Skin',379,16,'N','N'
'ALYA','Malaspina Gateway','Medicines','Alya Body Soap',454,16,'N','N'
'ANDULIGA','Celsius Estate','Consumer Items','Anduliga Fire Works',891,16,'N','N'
'ANY NA','Libby Orbital','Foods','Any Na Coffee',1790,11,'N','N'
'AROUCA','Shipton Orbital','Foods','Arouca Conventual Sweets',1191,12,'N','N'
'ARQUE','Baird Gateway','Consumer Items','Shan''s Charis Orchid',163,7,'N','N'
'AZ CANCRI','Fisher Station','Technology','Az Cancri Formula 42',6442,7,'N','N'
'BALTAH''SINE','Baltha''Sine Station','Foods','Baltah''sine Vacuum Krill',825,18,'N','N'
'BANKI','Antonio de Andrade Vista','Textiles','Banki Amphibious Leather',634,18,'N','N'
'BAST','Hart Station','Legal Drugs','Bast Snake Gin',1080,10,'Y','N'
'BELALANS','Boscovich Ring','Textiles','Belalans Ray Leather',882,10,'N','N'
'BENTO','Snow Moon','Salvage','Crystalline Spheres',6125,12,'N','N'
'BORASETANI','Katzenstein Terminal','Weapons','Borasetani Pathogenetics',8269,10,'Y','N'
'CD-75 661','Kirk Dock','Foods','CD-75 Kitten Brand Coffee',2373,12,'N','N'
