unq:name@System.system_id,unq:name,ls_from_star,blackmarket,max_pad_size,market,shipyard,modified,outfitting,rearm,refuel,repair,planetary
'1 G. CAELI','Giacobini Base',0,'?','L','?','N','2016-01-08 16:48:42','Y','?','?','?','Y'
'1 G. CAELI','Kandel Arsenal',3486,'Y','L','N','N','2016-01-03 17:48:47','Y','Y','Y','Y','Y'
'1 G. CAELI','Smoot Gateway',4761,'N','L','Y','Y','2015-05-06 17:03:00','Y','Y','Y','Y','N'
'1 GEMINORUM','Collins Settlement',2598,'Y','M','Y','N','2015-10-10 16:16:04','Y','Y','Y','N','N'
'1 GEMINORUM','Zholobov Orbital',3430,'Y','M','N','N','2015-06-21 23:25:43','N','Y','Y','Y','N'
'1 HYDRAE','Afanasyev Port',200,'N','M','Y','N','2015-10-10 16:16:04','N','Y','Y','Y','N'
'1 HYDRAE','Arber Terminal',664,'N','M','N','N','2015-06-21 23:11:54','N','N','Y','Y','N'
'1 HYDRAE','Feustel Port',664,'Y','L','Y','Y','2015-10-10 16:16:05','Y','Y','Y','Y','N'
'1 HYDRAE','Hieb Orbital',160,'N','M','Y','N','2015-08-09 22:16:03','N','Y','Y','Y','N'
'1 HYDRAE','Hornby Dock',1457,'N','L','Y','Y','2015-09-24 10:52:01','Y','Y','Y','Y','N'
'1 HYDRAE','Hutton Port',279,'N','L','Y','Y','2015-06-30 07:34:00','Y','Y','Y','Y','N'
'1 HYDRAE','Voss Hub',823,'N','L','Y','Y','2015-10-10 16:16:05','Y','Y','Y','Y','N'
'1 HYDRAE','Whitney Station',2106,'N','M','N','N','2015-06-21 23:11:54','N','N','Y','Y','N'
'1 HYDRAE','Yurchikhin Port',369,'N','M','N','N','2015-06-21 23:11:54','N','N','Y','Y','N'
'1 I CENTAURI','Ampere Dock',1498,'Y','L','Y','Y','2015-05-01 04:33:33','Y','Y','Y','Y','N'
'1 I CENTAURI','Armstrong Ring',1093,'Y','L','Y','Y','2015-06-21 23:04:19','Y','Y','Y','Y','N'
'1 KAPPA CYGNI','Hauck Enterprise',4832,'Y','M','N','N','2015-06-21 23:31:26','N','Y','Y','Y','N'
'1 KAPPA CYGNI','Kinsey Ring',2359,'N','M','Y','N','2015-06-21 23:31:26','N','N','Y','Y','N'
'1 KAPPA CYGNI','Wohler Port',3520,'Y','L','Y','Y','2015-06-21 23:31:26','Y','Y','Y','Y','N'
'10 ARIETIS','Archimedes Base',0,'N','M','Y','N','2015-10-10 16:16:05','N','N','Y','Y','N'
'10 ARIETIS','Chadwick Station',0,'N','M','Y','N','2015-10-10 16:16:05','Y','N','Y','Y','N'
'10 CANUM VENATICORUM','Collins Port',16,'N','M','Y','N','2015-06-21 23:31:06','N','N','Y','Y','N'
'10 CANUM VENATICORUM','He Port',495,'N','L','Y','Y','2015-10-10 16:16:05','Y','Y','Y','Y','N'
'10 CANUM VENATICORUM','Litke Port',971,'N','L','Y','Y','2015-06-21 23:31:06','Y','Y','Y','Y','N'
'10 CANUM VENATICORUM','Rice Prospect',0,'?','L','?','N','2015-12-26 19:22:38','Y','?','?','?','?'
'10 DELTA CORONAE BOREALIS','Ramaswamy Port',0,'N','M','Y','N','2015-10-10 16:16:05','Y','N','Y','Y','N'
'10 G. CANIS MAJORIS','Babbage Gateway',195,'N','M','Y','N','2015-06-21 23:10:38','N','N','Y','Y','N'
'10 G. CANIS MAJORIS','Gohar City',359,'N','M','Y','N','2015-06-21 23:10:38','N','N','Y','N','N'
'10 G. CANIS MAJORIS','Precourt Enterprise',614,'N','M','Y','N','2015-06-21 23:10:38','N','N','Y','Y','N'
'10 G. CANIS MAJORIS','Rushd Enterprise',1078,'N','L','Y','Y','2015-05-02 02:00:12','Y','Y','Y','Y','N'
'10 G. CANIS MAJORIS','Vesalius Port',1080,'Y','L','Y','Y','2015-05-02 02:00:12','Y','Y','Y','Y','N'
'10 HYDRAE','Hahn Terminal',0,'N','M','Y','N','2015-10-10 16:16:05','N','N','Y','Y','N'
'10 HYDRAE','Silverberg Survey',0,'N','M','Y','N','2015-10-10 16:16:05','N','N','Y','Y','N'
'10 IOTA CYGNI','Euler Ring',10774,'Y','L','Y','Y','2015-08-20 11:50:28','Y','Y','Y','Y','N'
'10 IOTA CYGNI','Onnes Hub',10548,'Y','M','Y','N','2015-08-20 11:30:51','Y','N','N','Y','N'
'10 IOTA CYGNI','Parise Hub',10549,'Y','M','Y','N','2015-08-20 11:38:20','Y','N','N','Y','N'
'10 KAPPA PEGASI','Bondar Hub',514,'Y','L','Y','Y','2015-03-18 01:01:37','Y','Y','Y','Y','N'
'10 KAPPA PEGASI','Herzfeld Dock',4635,'N','M','Y','N','2015-06-21 23:04:12','N','N','Y','Y','N'
'10 KAPPA PEGASI','Hubble Gateway',1831,'Y','L','Y','Y','2015-06-21 23:04:12','Y','Y','Y','Y','N'
'10 KAPPA PEGASI','Morin Dock',745,'N','M','Y','N','2015-03-18 01:01:37','N','Y','Y','Y','N'
'10 KAPPA PEGASI','Needham Dock',1457,'Y','M','Y','N','2015-06-21 23:04:12','Y','Y','Y','N','N'
'10 KAPPA PEGASI','Nicollier Terminal',1064,'Y','L','Y','Y','2016-01-07 14:02:11','Y','Y','Y','Y','N'
'10 KAPPA PEGASI','So-Yeon Dock',1059,'N','L','Y','Y','2015-06-21 23:04:12','Y','Y','Y','Y','N'
'10 RHO-3 ERIDANI','Brandenstein Vision',11972,'N','M','Y','N','2015-04-29 11:30:12','Y','Y','Y','Y','N'
'10 SERPENTIS','Chaviano Freeport',0,'Y','M','Y','N','2015-10-10 16:16:05','N','Y','Y','Y','N'
'10 TAURI','Bella Laboratory',4185,'Y','L','Y','N','2015-12-30 22:37:00','Y','Y','Y','Y','?'
'10 TAURI','Clairaut City',4182,'N','L','Y','Y','2015-10-10 16:16:05','Y','Y','Y','Y','N'
'10 TAURI','Gaultier de Varennes Enterprise',5888,'N','M','Y','N','2015-06-21 23:07:33','N','N','N','Y','N'
'10 THETA PISCIUM','Hovell Mines',823,'Y','L','Y','Y','2015-10-10 16:16:05','Y','Y','Y','Y','N'
'10 THETA PISCIUM','Stasheff Horizons',1113,'Y','M','Y','N','2015-04-29 11:33:15','Y','Y','Y','N','N'
'10 THETA PISCIUM','Williamson Mines',1427,'Y','M','Y','N','2015-04-29 11:33:42','Y','Y','Y','N','N'
'101 TAURI','Baturin City',694,'Y','L','Y','Y','2015-04-29 11:36:22','Y','Y','Y','Y','N'
'101 TAURI','Eisele City',1657,'N','M','Y','N','2015-04-29 11:38:10','Y','Y','Y','Y','N'
'101 TAURI','Frimout Port',539,'N','L','Y','Y','2015-04-29 11:35:51','Y','Y','Y','Y','N'
'101 TAURI','Hammond Ring',873,'N','M','Y','N','2015-04-29 11:37:03','N','N','Y','Y','N'
'101 TAURI','Linenger Station',1177,'N','L','Y','Y','2015-04-29 11:37:30','Y','Y','Y','Y','N'
'101 TAURI','Ramon Station',2191,'N','M','Y','N','2015-04-29 11:38:39','Y','Y','Y','Y','N'
'101 TAURI','Schmitt Orbital',384,'Y','L','Y','Y','2015-04-29 11:35:08','Y','Y','Y','Y','N'
'108 HERCULIS','Anderson Colony',0,'N','M','Y','N','2015-10-10 16:16:05','Y','N','Y','Y','N'
'108 HERCULIS','Thornycroft Enterprise',0,'Y','M','N','N','2015-10-10 16:16:05','N','Y','Y','Y','N'
'109 HERCULIS','Bennett Colony',353,'N','M','Y','N','2015-04-30 21:14:56','N','N','Y','Y','N'
'109 HERCULIS','So-Yeon Mines',0,'N','M','Y','N','2015-10-10 16:16:05','N','N','Y','Y','N'
'109 PISCIUM','Ising Dock',1958,'Y','L','Y','Y','2015-11-20 21:31:30','Y','Y','Y','Y','N'
'109 VIRGINIS','Melvill Gateway',105757,'Y','L','Y','Y','2015-06-15 09:02:35','Y','Y','Y','Y','N'
'11 AQUILAE','Efremov Camp',289,'N','M','Y','N','2015-06-21 23:09:12','N','N','Y','N','N'
'11 AQUILAE','Emshwiller Landing',0,'?','L','Y','N','2015-12-29 18:25:36','Y','?','?','?','?'
'11 AQUILAE','Nielsen Hub',237,'N','M','Y','N','2015-06-21 23:09:12','Y','Y','Y','Y','N'
'11 CEPHEI','Cook Gateway',844,'N','L','Y','Y','2015-06-21 23:17:08','Y','Y','Y','Y','N'
'11 VIRGINIS','Beckman Hub',498,'Y','M','Y','N','2015-05-11 19:24:40','Y','Y','Y','N','N'
'11 VIRGINIS','Cseszneky Enterprise',2126,'Y','L','Y','Y','2015-07-11 11:55:56','Y','Y','Y','Y','N'
