unq:rare_id,station_id@Station.station_id,category_id@Category.category_id,unq:name,cost,max_allocation,illegal,suppressed
6533,128001536,8,'Eranin Pearl Whisky','','','?','?'
6534,128106744,8,'Lavian Brandy','','','?','?'
6535,3223234816,4,'HIP 10175 Bush Meat','','','?','?'
6536,3222822912,4,'Albino Quechua Mammoth Meat','','','?','?'
6537,128037120,4,'Utgaroar Millennial Eggs','','','?','?'
6538,3223358720,4,'Witchhaul Kobe Beef','','','?','?'
6539,3225028096,4,'Karsuki Locusts','','','?','?'
6540,3225345792,4,'Giant Irukama Snails','','','?','?'
6541,128088056,4,'Baltah''sine Vacuum Krill','','','?','?'
6542,3222560000,4,'Ceti Rabbits','','','?','?'
6543,3221595648,7,'Kachirigin Filter Leeches','','','?','?'
6544,3226417152,8,'Lyrae Weed','','','?','?'
6545,128129272,8,'Onionhead','','','?','?'
6546,128041984,8,'Tarach Spice','','','?','?'
6547,128084984,8,'Wolf Fesh','','','?','?'
6548,3229638400,11,'Borasetani Pathogenetics','','','?','?'
6549,3223177472,11,'HIP 118311 Swarm','','','?','?'
6550,3226978048,8,'Kongga Ale','','','?','?'
6551,3222155776,8,'Wuthielo Ku Froth','','','?','?'
6552,3231373824,12,'Alacarakmo Skin Art','','','?','?'
6553,3230624768,12,'Eleu Thermals','','','?','?'
6554,3222295552,12,'Eshu Umbrellas','','','?','?'
6555,3227333120,12,'Karetii Couture','','','?','?'
6556,3222416896,12,'Njangari Saddles','','','?','?'
6557,3229880064,4,'Any Na Coffee','','','?','?'
6558,3228566016,4,'CD-75 Kitten Brand Coffee','','','?','?'
6559,3224449792,4,'Goman Yaupon Coffee','','','?','?'
6560,3227831808,9,'Volkhab Bee Drones','','','?','?'
6561,3227394304,12,'Kinago Violins','','','?','?'
6562,3221538304,12,'Nguna Modern Antiques','','','?','?'
6563,3227512320,12,'Rajukru Multi-Stoves','','','?','?'
6564,3224141312,12,'Tiolce Waste2Paste Units','','','?','?'
6565,128128760,4,'Chi Eridani Marine Paste','','','?','?'
6566,3226919680,4,'Esuseku Caviar','','','?','?'
6567,128042496,4,'Live Hecate Sea Worms','','','?','?'
6568,3231094528,1,'Helvetitj Pearls','','','?','?'
6569,3227995392,4,'HIP Proto-Squid','','','?','?'
6570,3223832576,4,'Coquim Spongiform Victuals','','','?','?'
6571,128083448,4,'Eden Apples of Aerial','','','?','?'
6572,3228206080,4,'Neritus Berries','','','?','?'
6573,3226719232,4,'Ochoeng Chillies','','','?','?'
6574,3229713408,4,'Deuringas Truffles','','','?','?'
6575,3226170880,4,'HR 7221 Wheat','','','?','?'
6576,3224698112,4,'Jaroua Rice','','','?','?'
6577,3223537152,5,'Belalans Ray Leather','','','?','?'
6578,3227751936,5,'Damna Carapaces','','','?','?'
6579,3222875648,5,'Rapa Bao Snake Skins','','','?','?'
6580,3227289856,5,'Vanayequi Ceratomorpha Fur','','','?','?'
6581,128086776,8,'Bast Snake Gin','','','?','?'
6582,3226522368,8,'Thrutis Cream','','','?','?'
6583,3221388032,9,'Wulpa Hyperbore Systems','','','?','?'
6584,128012800,7,'Aganippe Rush','','','?','?'
6585,128051466,7,'Terra Mater Blood Bores','','','?','?'
6586,3222713088,11,'Holva Duelling Blades','','','?','?'
6587,3221669632,11,'Kamorin Historic Weapons','','','?','?'
